TIMESTAMP,TEMPERATURE,DUST,HUMIDITY,PRESSURE
1577073600671,23.1,31,50,967
1577077200542,23.1,24,49,968
1577080800747,23.1,25,49,968
1577084400660,23.1,19,48,969
1577088001102,23.1,13,48,970
1577091600742,23.1,11,47,970
1577095200955,23.1,10,47,971
1577098800810,23.1,7,47,971
1577102400508,23.1,4,49,971
1577106000451,23.2,7,48,971
1577109600453,23.3,4,48,972
1577113200661,23.2,5,49,973
1577116800490,23.4,4,49,974
1577120400875,23.2,11,52,975
1577124001042,23.3,14,55,975
1577127600729,23.3,20,62,976
1577131201266,23.4,10,61,976
1577134800890,23.3,6,58,977
1577138401098,23.2,2,57,978
1577142000759,23.1,2,55,978
1577145601259,23,2,54,979
1577149200453,23,2,53,980
1577152800778,22.9,2,52,980
1577156401185,22.9,2,51,981
1577160000665,22.9,4,50,982
1577163600690,22.9,2,49,982
1577167201423,22.9,1,50,983
1577170800905,22.9,3,51,984
1577174400992,23,1,51,984
1577178001190,23,1,51,985
1577181600493,23.2,3,52,985
1577185200772,23.2,3,54,985
1577188800903,23.4,3,55,985
1577192401080,23.3,2,53,985
1577196000633,23.2,4,52,984
1577199601495,23.2,4,54,984
1577203200567,23.3,10,55,984
1577206800535,23.2,8,54,984
1577210401265,23.1,12,54,984
1577214001025,23.1,13,54,983
1577217601140,23.1,12,53,984
1577221200527,23.2,15,54,984
1577224800517,23.1,18,56,983
1577228400724,23.1,24,58,983
1577232000960,23,20,55,982
1577235600832,23,20,54,982
1577239200899,23,24,52,982
1577242800630,23,21,52,982
1577246400892,22.9,29,51,982
1577250000746,22.9,20,50,983
1577253600618,22.8,24,49,983
1577257201039,22.8,18,49,983
1577260800839,22.8,14,50,984
1577264400940,22.9,14,53,984
1577268001075,22.9,11,50,984
1577271600631,22.8,10,50,983
1577275200467,22.8,10,49,983
1577278800710,22.7,9,48,983
1577282400489,22.7,11,48,984
1577286000895,22.6,12,47,984
1577289601390,22.6,12,47,984
1577293200604,22.6,9,46,985
1577296801149,22.6,15,46,985
1577300400706,22.5,16,46,986
1577304000595,22.5,16,45,987
1577307600543,22.4,14,45,988
1577311200558,22.4,12,44,989
1577314801373,22.4,11,44,989
1577318400775,22.3,10,44,990
1577322000746,22.3,10,43,991
1577325600670,22.3,9,43,991
1577329200728,22.2,8,43,991
1577332801091,22.2,9,43,991
1577336401043,22.2,6,42,992
1577340003046,22.1,8,42,992
1577343600966,22.1,6,42,992
1577347201226,22.1,7,42,992
1577350801199,22.1,7,42,993
1577354401076,22.2,10,41,993
1577358001514,22.2,5,41,992
1577361600597,22.2,6,41,993
1577365200655,22.1,4,41,993
1577368801073,22.1,4,41,993
1577372401251,22.1,5,41,994
1577376000500,22.2,6,42,994
1577379601212,22.4,10,42,994
1577383201249,22.5,11,45,994
1577386800815,22.6,10,44,994
1577390400958,22.6,12,44,994
1577394001240,22.7,9,44,994
1577397601057,22.6,11,44,994
1577401200742,22.6,11,44,994
1577404800909,22.6,10,44,994
1577408400938,22.6,9,44,994
1577412000967,22.6,8,44,994
1577415600865,22.6,9,44,993
1577419201011,22.6,6,44,993
1577422801140,22.6,8,44,993
1577426400825,22.6,6,44,993
1577430001141,22.6,6,44,994
1577433600830,22.6,5,44,994
1577437201274,22.5,6,44,995
1577440801652,22.7,3,47,995
1577444400965,22.9,4,45,994
1577448001306,22.7,4,45,995
1577451600548,22.9,9,48,995
1577455201150,22.6,8,46,996
1577458801491,22.5,8,44,996
1577462401141,22.4,7,44,997
1577466001150,22.6,7,43,997
1577469601048,22.8,7,44,998
1577473200806,22.8,7,44,998
1577476800735,22.7,8,43,999
1577480400761,22.7,6,43,999
1577484000776,22.4,6,43,999
1577487600833,22.4,5,43,1000
1577491201284,22.4,5,42,1000
1577494801250,22.4,4,42,1001
1577498401062,22.3,3,42,1001
1577502000882,22.3,3,42,1001
1577505601316,22.2,1,41,1001
1577509200663,22.3,2,41,1002
1577512800811,22.2,1,41,1002
1577516400691,22.2,3,41,1003
1577520000479,22.6,3,41,1004
1577523600527,22.5,2,41,1004
1577527201005,22.7,2,41,1005
1577530800882,22.6,3,41,1005
1577534400753,22.6,3,40,1005
1577538000645,22.6,6,45,1005
1577541600893,22.4,6,46,1006
1577545200635,22.3,4,43,1007
1577548800715,22.3,4,43,1008
1577552400835,22.3,3,43,1008
1577556001488,22.4,5,48,1009
1577559601062,22.4,14,49,1009
1577563201065,22.2,8,47,1009
1577566800902,22.2,6,45,1009
1577570401012,22.2,4,44,1009
1577574001321,22.1,4,43,1009
1577577601019,22.1,5,42,1009
1577581200582,22.1,4,42,1010
1577584800946,22.1,5,41,1010
1577588400719,22.1,6,41,1010
1577592000767,22,4,40,1010
1577595600715,22.1,5,40,1010
1577599200605,22,4,39,1010
1577602800525,22.1,4,39,1010
1577606400958,22.1,3,39,1010
1577610001020,22.1,5,40,1011
1577613600897,22,4,39,1010
1577617200583,22,5,39,1010
1577620801229,22.2,4,41,1010
1577624400726,22.1,3,42,1010
1577628000655,22.3,15,45,1011
1577631600586,22.3,10,42,1011
1577635200578,22.3,9,41,1011
1577638800944,22.2,9,40,1011
1577642400841,22.2,8,39,1011
1577646000795,22.2,8,38,1011
1577649600684,22.1,6,39,1011
1577653200523,22.1,6,39,1011
1577656801063,22.1,10,39,1011
1577660400897,22.1,8,39,1011
1577664000633,22,11,39,1010
1577667600647,21.9,10,39,1010
1577671200878,22,14,39,1009
1577674800985,22,11,38,1009
1577678401498,22,14,38,1009
1577682000564,22,15,38,1009
1577685600688,22,14,38,1008
1577689200595,22,16,37,1008
1577692800477,21.9,17,39,1008
1577696401008,22.2,20,38,1007
1577700000893,22.3,22,39,1006
1577703601792,22.2,11,39,1006
1577707200874,22.2,11,39,1005
1577710800725,22.3,13,39,1004
1577714400598,22.4,27,40,1004
1577718001130,22.3,31,39,1003
1577721600679,22.3,27,40,1002
1577725200986,22.3,31,39,1002
1577728800761,22.5,24,39,1001
1577732400575,22.6,23,39,1001
1577736000541,22.6,24,43,1001
1577739600570,22.6,18,41,1000
1577743201260,22.6,18,40,999
1577746800744,22.6,18,40,998
1577750400978,22.6,15,41,997
1577754000475,22.6,15,40,997
1577757600552,22.6,9,40,996
1577761200748,22.6,10,39,995
1577764800498,22.6,11,39,994
1577768400863,22.5,7,39,994
1577772001270,22.5,6,39,993
1577775600501,22.5,4,38,993
1577779200629,22.7,4,38,993
1577782800547,22.9,3,37,994
1577786400533,22.8,3,38,995
1577790001093,22.7,5,40,996
1577793600744,22.8,7,43,997
1577797201053,22.8,10,43,997
1577800801029,22.7,48,45,998
1577804401044,22.7,18,44,998
1577808000612,22.9,11,50,999
1577811600877,22.6,10,48,999
1577815200568,22.5,11,46,1000
1577818800976,22.6,9,45,1000
1577822400631,22.5,8,44,1001
1577826000602,22.6,8,43,1001
1577829600994,22.6,10,42,1002
1577833201490,22.6,8,41,1002
1577836800647,22.5,8,41,1002
1577840401680,22.5,9,40,1003
1577844001114,22.5,9,40,1003
1577847601244,22.5,7,40,1003
1577851200848,22.5,5,39,1004
1577854800886,22.5,7,39,1004
1577858400936,22.5,5,39,1004
1577862001082,22.4,6,38,1004
1577865601038,22.5,6,38,1005
1577869200621,22.5,7,38,1005
1577872800918,22.5,5,37,1005
1577876401242,22.5,4,37,1005
1577880000799,22.5,5,37,1005
1577883601480,22.5,7,37,1005
1577887200977,22.5,8,36,1005
1577890800758,22.4,7,36,1004
1577894401116,22.3,10,37,1005
1577898000887,21.8,19,38,1004
1577901600976,21.7,21,38,1004
1577905200948,22.1,21,38,1004
1577908800903,22,30,40,1004
1577912400960,21.7,29,41,1004
1577916001200,22.1,24,40,1003
1577919601315,21.5,26,40,1003
1577923200693,21.5,26,39,1003
1577926801012,21.6,20,39,1003
1577930400598,22.6,16,38,1003
1577934000788,22,14,37,1003
1577937601303,21.9,10,37,1003
1577941201606,21.8,9,37,1003
1577944801146,21.8,9,37,1003
1577948400993,21.7,12,36,1003
1577952000898,21.8,11,36,1003
1577955600910,22.1,12,36,1003
1577959201115,22.1,14,36,1003
1577962800572,22.4,16,36,1002
1577966400842,22.3,18,35,1002
1577970001605,22.3,19,36,1001
1577973601263,22.3,23,35,1001
1577977201371,22.2,24,39,1001
1577980800824,22.3,21,38,1001
1577984401076,22.2,31,37,1001
1577988000793,22.1,31,38,1000
1577991600796,22,31,39,1000
1577995201125,22.1,30,40,999
1577998800541,21.8,62,39,999
1578002400693,21.7,77,39,999
1578006001030,21.9,95,38,999
1578009600836,21.5,80,39,999
1578013200795,21.4,90,38,998
1578016801423,21.4,83,38,998
1578020400970,21.3,98,37,997
1578024000715,21.3,87,37,997
1578027600505,21.3,93,37,997
1578031201044,21.4,83,37,997
1578034801046,21.4,74,37,997
1578038400745,21.5,67,36,997
1578042000974,21.7,59,41,997
1578045600704,21.9,51,39,996
1578049200448,22,47,38,995
1578052800519,22.2,37,39,995
1578056400548,22.3,33,45,994
1578060000919,22.3,32,43,994
1578063601100,22.2,23,42,994
1578067201095,22.1,21,41,993
1578070800638,22.1,21,40,993
1578074400866,22.1,23,40,993
1578078001046,22,25,43,992
1578081601365,22.1,25,42,992
1578085200496,22,26,41,992
1578088800533,22.1,27,41,991
1578092400523,22.6,15,41,991
1578096001099,22.3,10,41,991
1578099600896,22.3,8,41,991
1578103200688,22.3,9,40,990
1578106800850,22.3,5,40,990
1578110400760,22.4,5,40,990
1578114001156,22.4,4,40,990
1578117600857,22.3,7,40,991
1578121201296,22.3,5,40,992
1578124800531,22.3,1,39,993
1578128400581,22.3,1,39,993
1578132000844,22.5,2,39,992
1578135601047,22.4,2,40,992
1578139201030,22.4,3,41,991
1578142800718,22.3,5,45,990
1578146400779,22.1,6,47,989
1578150000927,22,5,44,989
1578153601276,21.7,10,48,989
1578157200676,21.8,11,51,988
1578160801015,22,6,53,988
1578164400517,22,8,52,987
1578168000526,22.1,5,54,989
1578171601222,22,7,51,989
1578175200804,21.8,3,49,990
1578178800881,22.2,5,49,991
1578182400616,22,3,47,991
1578186000550,22.1,2,47,992
1578189600868,22,1,45,993
1578193201148,22,3,45,994
1578196801116,22,2,44,994
1578200400877,22,1,43,996
1578204001108,22,1,43,997
1578207600720,22.1,1,43,998
1578211200912,22.2,4,47,1000
1578214800439,22.3,3,43,1001
1578218400755,22.5,2,41,1001
1578222001144,22.4,3,40,1001
1578225600998,22.5,2,39,1002
1578229200951,22.3,2,39,1002
1578232800970,21.8,3,39,1003
1578236401049,21.6,4,39,1004
1578240000624,22.2,6,41,1005
1578243601226,22.6,5,40,1005
1578247200591,22.3,7,42,1005
1578250801020,22,13,43,1006
1578254401105,22.1,12,43,1006
1578258001131,22.2,16,43,1006
1578261601285,22.2,14,42,1007
1578265200940,22.2,24,41,1006
1578268800631,21.6,31,41,1006
1578272401111,22,38,40,1006
1578276001345,21.9,27,40,1006
1578279600999,22,28,40,1006
1578283201424,22.1,32,40,1005
1578287134478,21.8,31,40,1005
1578290401272,21.9,36,39,1006
1578294000837,22,22,40,1005
1578297600960,22,17,42,1004
1578301200979,22.1,22,40,1004
1578304801073,22.3,17,39,1004
1578308401113,22.3,19,42,1003
1578312001172,22.1,15,42,1002
1578315600686,22,16,44,1002
1578319201032,22.6,10,45,1002
1578322800823,22.6,15,45,1002
1578326401146,22.3,12,42,1001
1578330000550,22.2,11,40,1001
1578333600943,22.1,15,39,1001
1578337201086,22,16,38,1001
1578340800794,21.6,34,37,1001
1578344401232,21.7,32,44,1000
1578348000965,21.8,30,47,1000
1578351600505,21.8,30,47,999
1578355201049,22.4,29,48,999
1578358800956,22.4,32,48,999
1578362400634,22.3,39,47,998
1578366001056,22.2,44,46,998
1578369601250,22.2,50,45,997
1578373200763,21.7,48,43,997
1578376800926,21.9,42,43,997
1578380400526,22,38,41,997
1578384000905,22.1,36,40,998
1578387600764,22.2,39,39,998
1578391200691,22.3,33,38,998
1578394801171,22.4,25,38,998
1578398400988,22.4,27,37,998
1578402000822,22.4,19,37,998
1578405600888,22.4,21,36,999
1578409201016,22.2,14,37,1000
1578412800511,22,14,36,1000
1578416400911,21.8,23,38,1001
1578420000710,22.4,17,41,1001
1578423601144,22.5,15,40,1002
1578427200934,22.3,21,40,1002
1578430800761,22.5,23,42,1002
1578434400447,22.7,26,43,1002
1578438000838,22.8,29,42,1002
1578441601096,22.4,37,44,1003
1578445200641,22.3,33,44,1003
1578448801025,22.3,35,44,1003
1578452400847,22.4,34,43,1003
1578456000545,22.3,31,43,1002
1578459600630,22.3,28,43,1002
1578463200938,22.3,27,43,1002
1578466801148,22.2,29,43,1002
1578470400591,22.2,29,42,1002
1578474000612,22.4,26,41,1001
1578477601122,22.4,22,40,1001
1578481200813,22.6,17,41,1000
1578484800533,22.6,12,41,1000
1578488400709,22.5,11,40,1000
1578492001065,22.5,7,39,999
1578495600879,22.4,6,38,999
1578499201240,22.4,7,39,999
1578502800643,22.5,9,39,999
1578506400438,22.6,12,39,999
1578510000664,22.7,15,38,999
1578513600527,22.7,23,38,999
1578517200906,22.7,25,39,999
1578520801261,22.8,28,41,999
1578524400624,22.7,35,41,999
1578528000953,22.6,26,40,999
1578531600768,22.5,26,41,998
1578535201207,22.5,26,41,998
1578538800812,22.4,20,41,998
1578542401156,22.4,16,41,998
1578546000441,22.4,8,41,998
1578549600876,22.4,11,41,998
1578553201014,22.3,11,40,998
1578556801029,22.3,7,40,997
1578560400758,22.3,13,39,997
1578564000758,22.4,14,39,996
1578567600907,22.5,10,39,995
1578571201425,22.5,12,39,995
1578574800656,22.5,13,39,995
1578578400796,22.5,11,39,995
1578582000678,22.5,16,39,994
1578585601066,22.5,15,40,993
1578589200790,22.6,15,41,993
1578592800715,22.6,16,41,992
1578596401338,22.9,16,46,992
1578600000521,23,19,45,992
1578603600607,23,28,45,991
1578607201161,22.7,28,45,991
1578610800766,22.6,35,46,990
1578614400889,22.7,48,44,990
1578618000908,22.7,42,44,990
1578621600756,22.6,37,44,990
1578625200621,22.6,31,43,990
1578628800904,22.5,29,43,990
1578632401112,22.4,29,42,990
1578636000745,22.4,21,42,991
1578639600953,22.4,21,41,991
1578643200847,22.4,22,41,991
1578646800490,22.5,25,41,992
1578650400765,22.6,23,40,991
1578654000875,22.7,25,40,991
1578657601148,22.8,21,41,991
1578661200519,22.7,20,41,991
1578664800601,22.7,20,41,991
1578668401354,22.7,20,41,992
1578672000863,22.5,23,40,993
1578675601067,22.5,23,40,993
1578679200524,22.4,25,40,993
1578682801014,22.5,27,40,994
1578686401268,22.5,29,40,994
1578690001131,22.5,30,40,995
1578693601195,22.5,30,41,995
1578697200606,22.5,29,41,995
1578700800733,22.8,20,41,995
1578704401283,22.6,16,41,995
1578708000781,22.6,16,41,995
1578711625188,22.5,16,40,996
1578715201174,22.5,14,40,996
1578718864322,22.5,13,40,997
1578722401139,22.6,12,40,997
